meta.site	meta.CZ
ABE	Temperate
ABI	Polar-Continental
ARM	Temperate
BAV	Temperate
BEN	Tropical-Subtropical
CAM	Polar-Continental
CHA	Polar-Continental
COR	Tropical-Subtropical
EDM	Polar-Continental
FTS	Polar-Continental
HAI	Temperate
HAW	Tropical-Subtropical
IGL	Polar-Continental
INR	Temperate
JOH	Temperate
KEV	Polar-Continental
KLA	Polar-Continental
MAD	Tropical-Subtropical
PRI	Polar-Continental
RIO	Tropical-Subtropical
ROS	Polar-Continental
SAN	Temperate
SCH	Temperate
STE	Temperate
TAR	Polar-Continental
THL	Tropical-Subtropical
TUR	Polar-Continental
VII	Polar-Continental
WOR	Temperate
ZAG	Temperate
ZRC	Temperate
KEN	Tropical-Subtropical
KYO	Tropical-Subtropical
NUU	Polar-Continental
BAN	Temperate
CBN	Temperate
PEC	Polar-Continental
SVA	Polar-Continental
YAK	Polar-Continental
YNC	Tropical-Subtropical
ZUR	Temperate
ZAC	Polar-Continental
PRM	Polar-Continental
NKO	Tropical-Subtropical
EUR	Temperate
TOO	Polar-Continental
PAN	Tropical-Subtropical
